startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5307139698654673, terminated: False, truncated: False
distance_to_goal: 1.5309108497820902, terminated: False, truncated: False
distance_to_goal: 1.5322189738536516, terminated: False, truncated: False
distance_to_goal: 1.5329311026236545, terminated: False, truncated: False
distance_to_goal: 1.5329839761649346, terminated: False, truncated: False
distance_to_goal: 1.533270935878193, terminated: False, truncated: False
distance_to_goal: 1.5335992593531231, terminated: False, truncated: False
distance_to_goal: 1.534633752882158, terminated: False, truncated: False
distance_to_goal: 1.5351871934275614, terminated: False, truncated: False
distance_to_goal: 1.5344827323578185, terminated: False, truncated: False
distance_to_goal: 1.5339539537749822, terminated: False, truncated: False
distance_to_goal: 1.5328765017783952, terminated: False, truncated: False
distance_to_goal: 1.5324511362334041, terminated: False, truncated: False
distance_to_goal: 1.5329643100355148, terminated: False, truncated: False
distance_to_goal: 1.5328802313951004, terminated: False, truncated: False
distance_to_goal: 1.5317739439279707, terminated: False, truncated: False
distance_to_goal: 1.5307218020624074, terminated: False, truncated: False
distance_to_goal: 1.5284754387960033, terminated: False, truncated: False
distance_to_goal: 1.526191896998494, terminated: False, truncated: False
distance_to_goal: 1.5246007916205617, terminated: False, truncated: False
distance_to_goal: 1.523446846566412, terminated: False, truncated: False
distance_to_goal: 1.5218564852384038, terminated: False, truncated: False
distance_to_goal: 1.5204342589574433, terminated: False, truncated: False
distance_to_goal: 1.519012252679417, terminated: False, truncated: False
distance_to_goal: 1.517633217487955, terminated: False, truncated: False
distance_to_goal: 1.5160908868148126, terminated: False, truncated: False
distance_to_goal: 1.5135887188748578, terminated: False, truncated: False
distance_to_goal: 1.5106034110564237, terminated: False, truncated: False
distance_to_goal: 1.5072518115670952, terminated: False, truncated: False
distance_to_goal: 1.5033554131123075, terminated: False, truncated: False
distance_to_goal: 1.499359580565847, terminated: False, truncated: False
distance_to_goal: 1.4966587206777298, terminated: False, truncated: False
distance_to_goal: 1.4953220149173967, terminated: False, truncated: False
distance_to_goal: 1.4940332552723206, terminated: False, truncated: False
distance_to_goal: 1.4926858324484775, terminated: False, truncated: False
distance_to_goal: 1.4920973981062426, terminated: False, truncated: False
distance_to_goal: 1.4927480436253462, terminated: False, truncated: False
distance_to_goal: 1.4933956560319683, terminated: False, truncated: False
distance_to_goal: 1.4941572280674962, terminated: False, truncated: False
distance_to_goal: 1.4945643985775787, terminated: False, truncated: False
distance_to_goal: 1.495491471990958, terminated: False, truncated: False
distance_to_goal: 1.495655816814503, terminated: False, truncated: False
distance_to_goal: 1.4947361093779883, terminated: False, truncated: False
distance_to_goal: 1.4939734085196446, terminated: False, truncated: False
distance_to_goal: 1.4941982799640288, terminated: False, truncated: False
distance_to_goal: 1.4937708664996945, terminated: False, truncated: False
distance_to_goal: 1.4933798852895641, terminated: False, truncated: False
distance_to_goal: 1.4933168534549248, terminated: False, truncated: False
distance_to_goal: 1.494549061290487, terminated: False, truncated: False
distance_to_goal: 1.4959635058731404, terminated: False, truncated: False
distance_to_goal: 1.4967875731082987, terminated: False, truncated: False
distance_to_goal: 1.4984015561487674, terminated: False, truncated: False
distance_to_goal: 1.5000842934659975, terminated: False, truncated: False
distance_to_goal: 1.502334491278398, terminated: False, truncated: False
distance_to_goal: 1.5050570608170808, terminated: False, truncated: False
distance_to_goal: 1.5066611959258762, terminated: False, truncated: False
distance_to_goal: 1.5078929495584046, terminated: False, truncated: False
distance_to_goal: 1.5091638038100694, terminated: False, truncated: False
distance_to_goal: 1.510556153498308, terminated: False, truncated: False
distance_to_goal: 1.5119815737365225, terminated: False, truncated: False
distance_to_goal: 1.5133440446925222, terminated: False, truncated: False
distance_to_goal: 1.5141633705088995, terminated: False, truncated: False
distance_to_goal: 1.5145595331212065, terminated: False, truncated: False
distance_to_goal: 1.514371004924892, terminated: False, truncated: False
distance_to_goal: 1.5144646266858173, terminated: False, truncated: False
distance_to_goal: 1.5147138446560626, terminated: False, truncated: False
distance_to_goal: 1.5145957721342413, terminated: False, truncated: False
distance_to_goal: 1.513901070662006, terminated: False, truncated: False
distance_to_goal: 1.5138245138752078, terminated: False, truncated: False
distance_to_goal: 1.5140064692906408, terminated: False, truncated: False
distance_to_goal: 1.5136522757111543, terminated: False, truncated: False
distance_to_goal: 1.5121737681949639, terminated: False, truncated: False
distance_to_goal: 1.5108341223477888, terminated: False, truncated: False
distance_to_goal: 1.5095695630625598, terminated: False, truncated: False
distance_to_goal: 1.5095916327802492, terminated: False, truncated: False
distance_to_goal: 1.5090871465556257, terminated: False, truncated: False
distance_to_goal: 1.50816632368127, terminated: False, truncated: False
distance_to_goal: 1.5085912451069166, terminated: False, truncated: False
distance_to_goal: 1.5078890066044186, terminated: False, truncated: False
distance_to_goal: 1.5073165406817846, terminated: False, truncated: False
distance_to_goal: 1.5068866211757788, terminated: False, truncated: False
distance_to_goal: 1.5062283290248575, terminated: False, truncated: False
distance_to_goal: 1.504453567293858, terminated: False, truncated: False
distance_to_goal: 1.5032972650971508, terminated: False, truncated: False
distance_to_goal: 1.502825788230981, terminated: False, truncated: False
distance_to_goal: 1.5018794964095357, terminated: False, truncated: False
distance_to_goal: 1.4996970831381538, terminated: False, truncated: False
distance_to_goal: 1.4984915181413025, terminated: False, truncated: False
distance_to_goal: 1.4974228532671143, terminated: False, truncated: False
distance_to_goal: 1.4968666604310112, terminated: False, truncated: False
distance_to_goal: 1.4977623154281954, terminated: False, truncated: False
distance_to_goal: 1.4975358629167268, terminated: False, truncated: False
distance_to_goal: 1.497535592040875, terminated: False, truncated: False
distance_to_goal: 1.498252928740204, terminated: False, truncated: False
distance_to_goal: 1.498995608551392, terminated: False, truncated: False
distance_to_goal: 1.5011386684084298, terminated: False, truncated: False
distance_to_goal: 1.5036253974109701, terminated: False, truncated: False
distance_to_goal: 1.5061230775121202, terminated: False, truncated: False
distance_to_goal: 1.508488370436969, terminated: False, truncated: False
distance_to_goal: 1.5111222656718546, terminated: False, truncated: False
distance_to_goal: 1.5126404090232362, terminated: False, truncated: False
distance_to_goal: 1.5137359549678886, terminated: False, truncated: False
distance_to_goal: 1.514173072094207, terminated: False, truncated: False
distance_to_goal: 1.5142445789022838, terminated: False, truncated: False
distance_to_goal: 1.5131901018164047, terminated: False, truncated: False
distance_to_goal: 1.5127475705119133, terminated: False, truncated: False
distance_to_goal: 1.5125915744831973, terminated: False, truncated: False
distance_to_goal: 1.511299275190961, terminated: False, truncated: False
distance_to_goal: 1.509698668225421, terminated: False, truncated: False
distance_to_goal: 1.5076638528927346, terminated: False, truncated: False
distance_to_goal: 1.506397056452391, terminated: False, truncated: False
distance_to_goal: 1.5061732523097229, terminated: False, truncated: False
distance_to_goal: 1.505523201347328, terminated: False, truncated: False
distance_to_goal: 1.5037434421200218, terminated: False, truncated: False
distance_to_goal: 1.5024615464541342, terminated: False, truncated: False
distance_to_goal: 1.5017126675251682, terminated: False, truncated: False
distance_to_goal: 1.5006451952379833, terminated: False, truncated: False
distance_to_goal: 1.500187821226066, terminated: False, truncated: False
distance_to_goal: 1.4998814390775077, terminated: False, truncated: False
distance_to_goal: 1.4989962449631618, terminated: False, truncated: False
distance_to_goal: 1.4982448645248523, terminated: False, truncated: False
distance_to_goal: 1.4976143947880889, terminated: False, truncated: False
distance_to_goal: 1.4970125033513975, terminated: False, truncated: False
distance_to_goal: 1.4977034628309893, terminated: False, truncated: False
distance_to_goal: 1.4980026482826976, terminated: False, truncated: False
distance_to_goal: 1.49723618414786, terminated: False, truncated: False
distance_to_goal: 1.497335567754483, terminated: False, truncated: False
distance_to_goal: 1.4974286170284818, terminated: False, truncated: False
distance_to_goal: 1.4983152466694731, terminated: False, truncated: False
distance_to_goal: 1.498652489173194, terminated: False, truncated: False
distance_to_goal: 1.499644299079522, terminated: False, truncated: False
distance_to_goal: 1.5002596617358404, terminated: False, truncated: False
distance_to_goal: 1.5003990001066583, terminated: False, truncated: False
distance_to_goal: 1.5000996411487075, terminated: False, truncated: False
distance_to_goal: 1.5011523222478382, terminated: False, truncated: False
distance_to_goal: 1.5026367512149115, terminated: False, truncated: False
distance_to_goal: 1.5029926050599467, terminated: False, truncated: False
distance_to_goal: 1.5028271798342654, terminated: False, truncated: False
distance_to_goal: 1.503307421061775, terminated: False, truncated: False
distance_to_goal: 1.5041081360294084, terminated: False, truncated: False
distance_to_goal: 1.5050296389160616, terminated: False, truncated: False
distance_to_goal: 1.504931088138861, terminated: False, truncated: False
distance_to_goal: 1.5049958890280561, terminated: False, truncated: False
distance_to_goal: 1.505423786480559, terminated: False, truncated: False
distance_to_goal: 1.5047801503692042, terminated: False, truncated: False
distance_to_goal: 1.5033308377739438, terminated: False, truncated: False
distance_to_goal: 1.5025988430948867, terminated: False, truncated: False
distance_to_goal: 1.5017258983789108, terminated: False, truncated: False
distance_to_goal: 1.5004268465941522, terminated: False, truncated: False
distance_to_goal: 1.5004294345473674, terminated: False, truncated: False
distance_to_goal: 1.4999063311918073, terminated: False, truncated: False
distance_to_goal: 1.4994290464319806, terminated: False, truncated: False
distance_to_goal: 1.49905290549339, terminated: False, truncated: False
distance_to_goal: 1.4974815022597854, terminated: False, truncated: False
distance_to_goal: 1.4972066895975602, terminated: False, truncated: False
distance_to_goal: 1.4963426733543033, terminated: False, truncated: False
distance_to_goal: 1.4967211697898066, terminated: False, truncated: False
distance_to_goal: 1.4972804540431897, terminated: False, truncated: False
distance_to_goal: 1.4986541750366844, terminated: False, truncated: False
distance_to_goal: 1.4994398924294687, terminated: False, truncated: False
distance_to_goal: 1.4995822527536284, terminated: False, truncated: False
distance_to_goal: 1.500541004360474, terminated: False, truncated: False
distance_to_goal: 1.5010525321080481, terminated: False, truncated: False
distance_to_goal: 1.5005407936813535, terminated: False, truncated: False
distance_to_goal: 1.500042808843604, terminated: False, truncated: False
distance_to_goal: 1.4997008220341892, terminated: False, truncated: False
distance_to_goal: 1.4980072449153674, terminated: False, truncated: False
distance_to_goal: 1.4968958787841227, terminated: False, truncated: False
