/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5380739976593176, terminated: False, truncated: False
distance_to_goal: 1.5393969994799492, terminated: False, truncated: False
distance_to_goal: 1.5402304993325393, terminated: False, truncated: False
distance_to_goal: 1.5405907341839504, terminated: False, truncated: False
distance_to_goal: 1.5412920832517742, terminated: False, truncated: False
distance_to_goal: 1.5414579176457652, terminated: False, truncated: False
distance_to_goal: 1.5416280177448818, terminated: False, truncated: False
distance_to_goal: 1.5413205402362247, terminated: False, truncated: False
distance_to_goal: 1.5415920865536432, terminated: False, truncated: False
distance_to_goal: 1.5407344458074321, terminated: False, truncated: False
distance_to_goal: 1.540146035202243, terminated: False, truncated: False
distance_to_goal: 1.5402621210581242, terminated: False, truncated: False
distance_to_goal: 1.5395975442838699, terminated: False, truncated: False
distance_to_goal: 1.5395008452394763, terminated: False, truncated: False
distance_to_goal: 1.5388761228798036, terminated: False, truncated: False
distance_to_goal: 1.5389329884041238, terminated: False, truncated: False
distance_to_goal: 1.5402295567596744, terminated: False, truncated: False
distance_to_goal: 1.5411132957532394, terminated: False, truncated: False
distance_to_goal: 1.5413959047210195, terminated: False, truncated: False
distance_to_goal: 1.542973084816012, terminated: False, truncated: False
distance_to_goal: 1.5434702272973975, terminated: False, truncated: False
distance_to_goal: 1.5443447646970945, terminated: False, truncated: False
distance_to_goal: 1.5459694682603113, terminated: False, truncated: False
distance_to_goal: 1.5479970753002006, terminated: False, truncated: False
distance_to_goal: 1.5474832605899187, terminated: False, truncated: False
distance_to_goal: 1.5476115646173672, terminated: False, truncated: False
distance_to_goal: 1.54768647332923, terminated: False, truncated: False
distance_to_goal: 1.5477021487927536, terminated: False, truncated: False
distance_to_goal: 1.547184343210543, terminated: False, truncated: False
distance_to_goal: 1.547296374622106, terminated: False, truncated: False
distance_to_goal: 1.548096185390412, terminated: False, truncated: False
distance_to_goal: 1.549177928350884, terminated: False, truncated: False
distance_to_goal: 1.5510691659473212, terminated: False, truncated: False
distance_to_goal: 1.5511856400951287, terminated: False, truncated: False
distance_to_goal: 1.550645936615507, terminated: False, truncated: False
distance_to_goal: 1.5502791215227185, terminated: False, truncated: False
distance_to_goal: 1.5511533682615315, terminated: False, truncated: False
distance_to_goal: 1.551592077724094, terminated: False, truncated: False
distance_to_goal: 1.5526077497228563, terminated: False, truncated: False
distance_to_goal: 1.553758028199907, terminated: False, truncated: False
distance_to_goal: 1.5548330450632386, terminated: False, truncated: False
distance_to_goal: 1.5550755532438554, terminated: False, truncated: False
distance_to_goal: 1.5545502887412046, terminated: False, truncated: False
distance_to_goal: 1.5553194597846238, terminated: False, truncated: False
distance_to_goal: 1.5564827877665623, terminated: False, truncated: False
distance_to_goal: 1.556271329433374, terminated: False, truncated: False
distance_to_goal: 1.5555772862252013, terminated: False, truncated: False
distance_to_goal: 1.5549884210832818, terminated: False, truncated: False
distance_to_goal: 1.5547305784306347, terminated: False, truncated: False
distance_to_goal: 1.5541547954927508, terminated: False, truncated: False
distance_to_goal: 1.5529334349627517, terminated: False, truncated: False
distance_to_goal: 1.5505829530416875, terminated: False, truncated: False
distance_to_goal: 1.5478669951943897, terminated: False, truncated: False
distance_to_goal: 1.5456294706978455, terminated: False, truncated: False
distance_to_goal: 1.5441030304568288, terminated: False, truncated: False
distance_to_goal: 1.542090457635254, terminated: False, truncated: False
distance_to_goal: 1.5411851583029148, terminated: False, truncated: False
distance_to_goal: 1.5415694913379072, terminated: False, truncated: False
distance_to_goal: 1.5415238748172768, terminated: False, truncated: False
distance_to_goal: 1.5415447633864972, terminated: False, truncated: False
distance_to_goal: 1.5404368131458377, terminated: False, truncated: False
distance_to_goal: 1.5394215935327014, terminated: False, truncated: False
distance_to_goal: 1.5391238840741759, terminated: False, truncated: False
distance_to_goal: 1.5393593022951688, terminated: False, truncated: False
distance_to_goal: 1.5392803501706427, terminated: False, truncated: False
distance_to_goal: 1.5394661568277752, terminated: False, truncated: False
distance_to_goal: 1.5402503872495, terminated: False, truncated: False
distance_to_goal: 1.541408661532025, terminated: False, truncated: False
distance_to_goal: 1.542743984204041, terminated: False, truncated: False
distance_to_goal: 1.5441318422961194, terminated: False, truncated: False
distance_to_goal: 1.5444045473419925, terminated: False, truncated: False
distance_to_goal: 1.5453314860232996, terminated: False, truncated: False
distance_to_goal: 1.5455441522144466, terminated: False, truncated: False
distance_to_goal: 1.54602841412274, terminated: False, truncated: False
distance_to_goal: 1.5458978250657864, terminated: False, truncated: False
